uuid,waktu_transaksi,armada_id_var,no_body_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
9bd2ecce-36b9-41d2-b21a-74f3320f3656,2025-07-28 01:57:07,B 4760 ZAP,PTK2145,4425780550434074,E-Money,47000,35000,12000,TX000023,False,-6.157972854389593,106.7755090861908,S,False,2025-07-28 01:58:36
bf317cb8-ef71-4722-ba03-436239d7db1b,2025-07-25 01:01:46,B 6237 JEM,LGS2960_,4402035713302251,JakCard,29000,0,29000,TX000024,False,-6.161161046590731,106.81091606816287,S,True,2025-07-25 01:02:41
d61ff48f-d8ce-4c91-95c4-b8153d3049be,2025-07-31 09:02:34,B 7833 RNZ,TWS4778B,1123388278444349,JakCard,48000,35000,13000,TX000025,False,-6.155258638280352,106.83151867349228,S,False,2025-07-31 09:02:47
fa420b53-efe9-4b12-81f9-34b47c29078f,2025-07-03 02:20:11,B 5908 NOY,PTK9540B,8313926920759238,E-Money,37000,0,37000,TX000026,True,-6.177026759646741,106.80470731614224,S,True,2025-07-03 02:21:31
39e94ee7-10f7-4b21-b0ce-b8a1e3e8f111,2025-07-31 16:49:35,B 1352 THI,LGS5931_,3638631449278242,BRIZZI,75000,0,75000,TX000027,False,-6.234176515422004,106.81298134730562,S,True,2025-07-31 16:50:56
0567892b-1531-4989-bab5-f23385113ad7,2025-07-21 11:24:26,B 2791 JQV,TWS7375_A,1009712630720389,JakCard,48000,35000,13000,TX000028,True,-6.211092762467514,106.80505944789472,S,False,2025-07-21 11:26:09
ad23a75c-ce28-4965-a114-382a567fe028,2025-07-03 11:21:55,B 2981 JQY,KLG774B,8486859724044679,E-Money,96000,0,96000,TX000029,True,-6.208014130681096,106.78971082222225,S,True,2025-07-03 11:23:06
e52e5e22-9423-45c8-a3bc-15c27a1073ef,2025-07-16 05:35:04,B 3247 KBI,KLG1173,5712534579921421,E-Money,94000,2000,92000,TX000030,True,-6.214369023195012,106.7791692379154,S,False,2025-07-16 05:35:35
f7603f7c-c711-4bbd-a35f-8b1f2a83642c,2025-07-15 19:10:07,B 5062 THN,KLG8918B,3755103938922788,JakCard,33000,0,33000,TX000031,True,-6.159576402568112,106.75914282378443,S,True,2025-07-15 19:11:51
59079113-ac34-4eb1-afff-95da2eb48cf3,2025-07-07 20:39:35,B 5376 NAN,PTK2246,7256133422444107,E-Money,31000,20000,11000,TX000032,False,-6.16438584223218,106.84926206431767,S,False,2025-07-07 20:40:57
66311499-2382-4e4e-8b81-02639d589ae1,2025-07-09 23:11:30,B 3072 SRU,KLG5787B,5215509735474399,Flazz,75000,35000,40000,TX000033,True,-6.2127799904449645,106.76194605801005,S,False,2025-07-09 23:12:38
fb7c0ce1-160b-44dd-83cd-0195d30f4197,2025-07-05 13:04:24,B 1459 HOW,KLG5438_A,9302969172839017,Flazz,65000,2000,63000,TX000034,False,-6.20504727476239,106.82023175419475,S,False,2025-07-05 13:04:48
7330f903-6f03-4c0c-97e2-3ef5e97f0b99,2025-07-30 10:28:27,B 2424 QBO,KLG8667,4681456702074985,Flazz,17000,0,17000,TX000035,True,-6.2064074760149905,106.75903320205904,S,True,2025-07-30 10:29:36
9ff5cb46-827a-4be4-ae62-d16ea6bc3853,2025-07-14 14:06:05,B 8050 LKW,NBR7096,3248205890602450,BRIZZI,78000,20000,58000,TX000036,True,-6.218781782379292,106.76976169454504,S,False,2025-07-14 14:06:36
8c33a5fc-137c-445d-88b0-24cce698ef60,2025-07-24 05:26:21,B 3951 IUI,LGS6243,7053370528763926,JakCard,78000,20000,58000,TX000037,True,-6.161296702791448,106.77941724892999,S,False,2025-07-24 05:26:47
8dac9278-1df2-4a95-93b0-903a041148aa,2025-07-12 03:15:54,B 6334 YJN,LGS8796_,9043107924156537,E-Money,44000,35000,9000,TX000038,False,-6.180918608307082,106.77077661833839,S,False,2025-07-12 03:17:24
721b1731-97ec-4181-8e36-cb6002a35ba9,2025-07-10 17:34:52,B 6621 RCY,KLG6699-,8448632921960384,E-Money,93000,2000,91000,TX000039,True,-6.186441144715095,106.8378815291419,S,False,2025-07-10 17:35:57
3c7dbddd-6f82-4325-9df0-4b4db3b719a0,2025-07-30 00:22:57,B 6469 KFT,KLG8193-B,3406036643586431,JakCard,48000,20000,28000,TX000040,False,-6.226296735414747,106.79675205095056,S,False,2025-07-30 00:23:20
cd7416b1-ea6b-4d3d-94a5-9a779bea0bb0,2025-07-23 23:56:31,B 9926 WZC,LGS1760B,7474113673391120,JakCard,35500,3500,32000,TX000041,True,-6.1814765681673185,106.83686315239326,S,False,2025-07-23 23:57:50
89a0048d-ef25-448f-bb26-8b8e194d8a53,2025-07-04 20:20:48,B 4536 JYX,BRT6899,2355695302372073,BRIZZI,83000,20000,63000,TX000042,True,-6.242656271769829,106.76786592973058,S,False,2025-07-04 20:22:41
48202dcc-62d2-4832-822a-139409236024,2025-07-04 17:15:07,B 1782 QNY,KLG8634B,7092686242520062,BRIZZI,60000,20000,40000,TX000043,True,-6.155719836318857,106.75206283258888,S,False,2025-07-04 17:15:52
e4f362fd-5d92-4a56-8e3c-ddfd6c960583,2025-07-17 00:01:42,B 5830 HQA,KLG2559-A,7394915590829882,Flazz,60000,20000,40000,TX000044,False,-6.207552151469872,106.77879501256587,S,False,2025-07-17 00:03:27
248f73d7-6f08-450c-b0f6-e6d602401fcb,2025-07-01 04:23:10,B 8197 MSH,NBR1823,6316298419944798,E-Money,94000,20000,74000,TX000045,False,-6.212659222118683,106.75689977939504,S,False,2025-07-01 04:23:56
f2ffb972-964f-4ef2-9c75-25f3b50a0d8d,2025-07-14 02:01:08,B 1531 HVO,PTK7548,6360752747590478,JakCard,60000,35000,25000,TX000046,True,-6.18272778423981,106.81406189000931,S,False,2025-07-14 02:01:48
54b77b5b-5f99-4ccb-bf9a-9ff39a96fb21,2025-07-07 02:44:30,B 5001 PHV,NBR9368B,4197864290035270,BRIZZI,17000,2000,15000,TX000047,True,-6.241074261341736,106.7741182040172,S,False,2025-07-07 02:45:42
fd09d40e-a833-4a69-a8ba-4cea4948992a,2025-07-15 19:38:30,B 4663 JTX,NBR3583_B,2483788702284260,BRIZZI,56000,35000,21000,TX000048,False,-6.15566617951605,106.7913773444587,S,False,2025-07-15 19:40:13
fb95529b-aa81-4f0d-ad2a-22adea6ff002,2025-07-09 03:44:16,B 1506 PTL,LGS8661_A,7685668322250159,JakCard,71000,20000,51000,TX000049,True,-6.182815326803755,106.79933596058191,S,False,2025-07-09 03:44:56
2abab333-fd0e-48d1-8f0a-7d112103c8b9,2025-07-15 22:27:58,B 9688 GFR,TWS5918,5951442879377507,Flazz,80500,3500,77000,TX000050,True,-6.239467022507577,106.79920436431733,S,False,2025-07-15 22:28:35
162749f6-34ad-4700-80a7-6d9f8fbd2e85,2025-07-21 04:08:45,B 3902 AJE,LGS3788-B,2670512462171093,JakCard,28000,20000,8000,TX000051,False,-6.190153463751855,106.82566062765098,S,False,2025-07-21 04:10:10
a93f5238-078f-4c59-8deb-67e4f95ed690,2025-07-05 13:41:18,B 9507 WNQ,NBR5444-B,5550762500605190,JakCard,19000,2000,17000,TX000052,True,-6.22841580034187,106.84265708723443,S,False,2025-07-05 13:42:43
3bac44e5-482d-4273-9ed7-981d1c7523c7,2025-07-07 17:40:04,B 2745 ZGZ,PTK7353,8821978997696217,E-Money,99000,35000,64000,TX000053,False,-6.243099224003596,106.81242587671451,S,False,2025-07-07 17:42:03
9d61d9e6-ea63-4f67-9a97-e3cab125e09a,2025-07-06 05:17:58,B 5695 XUR,BRT2792A,4694525457781611,BRIZZI,71000,0,71000,TX000054,True,-6.2227576205307855,106.75224944088508,S,True,2025-07-06 05:17:59
fc34fb08-e907-45cc-94e0-939c125dfd29,2025-07-22 05:42:24,B 1112 KIW,KLG6858B,6913353571982792,Flazz,74000,35000,39000,TX000055,True,-6.2348352377783005,106.82019831202847,S,False,2025-07-22 05:44:13
66050fce-2a33-4cfe-9037-745d7aae056b,2025-07-10 02:01:56,B 3622 IST,KLG3080,0974679989195783,E-Money,67000,35000,32000,TX000056,True,-6.1837035260166235,106.77450498594459,S,False,2025-07-10 02:03:16
974d6c9d-2738-4b6b-ae5f-2f9a6e3ea90e,2025-07-11 23:34:13,B 7431 IXP,LGS1820_,7317520055991001,BRIZZI,36000,2000,34000,TX000057,True,-6.1643121286351485,106.8473486842921,S,False,2025-07-11 23:35:32
afbf5799-cafe-4e03-9a0e-4814cbf7b888,2025-07-24 18:25:49,B 1601 GEH,TWS564-A,5921480123507883,Flazz,31000,20000,11000,TX000058,False,-6.187216782518383,106.84448532372636,S,False,2025-07-24 18:26:39
e5fcaefe-9e27-4362-b678-866984ae50b8,2025-07-18 07:24:24,B 5133 XFA,KLG1521_,1663470421234384,Flazz,45500,3500,42000,TX000059,True,-6.166777983478033,106.821100051991,S,False,2025-07-18 07:25:19
14259972-3ea4-41c3-892d-ab47ff4668ca,2025-07-30 23:46:09,B 3806 MMM,TWS6484-A,8968361693993475,Flazz,73000,35000,38000,TX000060,False,-6.245941917319211,106.84737433378669,S,False,2025-07-30 23:46:11
90749aba-131b-4ed6-81f0-55d7c80bbcec,2025-07-10 21:30:32,B 8419 AGZ,BRT584-,6720328044166558,E-Money,51000,2000,49000,TX000061,True,-6.150115489239668,106.79829069430798,S,False,2025-07-10 21:30:34
a3825c49-ec1f-47cc-9672-f01344033139,2025-07-27 12:35:18,B 7781 NMV,LGS3850-,3591868612477000,JakCard,27000,2000,25000,TX000062,True,-6.184121057963209,106.83730825884882,S,False,2025-07-27 12:35:57
c63d0a67-41ff-4974-982a-b05a200d98e8,2025-07-15 12:48:29,B 6360 ELB,PTK4094-A,5199109906216636,Flazz,11500,3500,8000,TX000063,False,-6.222118312448499,106.76674228992631,S,False,2025-07-15 12:49:15
b41318e8-cf2f-42b0-acc1-94051187e8f9,2025-07-20 12:11:44,B 1211 UJI,BRT3205-,6004515347625996,BRIZZI,31000,2000,29000,TX000064,True,-6.222273174692305,106.75390468724729,S,False,2025-07-20 12:12:49
b890fcd2-851f-420a-b9d5-9fcba5d7e966,2025-07-04 08:59:16,B 3764 HHK,LGS7050,1973951087108448,JakCard,25000,0,25000,TX000065,True,-6.220344535858719,106.7937405345142,S,True,2025-07-04 09:00:05
d875ec28-5dc0-4fc1-a104-739334bdd86b,2025-07-13 04:45:35,B 4262 WIW,LGS959-A,8516623249750923,BRIZZI,20000,0,20000,TX000066,True,-6.154197836159413,106.76810812953673,S,True,2025-07-13 04:47:26
e05369df-2f6d-414a-a38f-aea49959410d,2025-07-01 00:41:45,B 1540 NLJ,LGS3975_,2729986119240600,BRIZZI,22000,0,22000,TX000067,True,-6.243542075590111,106.75856016262208,S,True,2025-07-01 00:43:36
73e1c3c4-d6e2-40b8-bb07-2c05667d1eea,2025-07-25 12:03:03,B 6220 OVK,TWS3167,2775562079406440,JakCard,27500,3500,24000,TX000068,True,-6.21555963002138,106.7513087345923,S,False,2025-07-25 12:03:58
a99669a5-0d5c-4821-800e-8b0fbb798788,2025-07-02 11:34:20,B 7578 YEG,PTK9176_,9380505126759226,Flazz,71000,2000,69000,TX000069,True,-6.165839817747413,106.7668732251956,S,False,2025-07-02 11:35:59
3156b140-3ac0-4ff2-bd74-3fca888fb345,2025-07-14 22:41:24,B 4549 HDU,LGS5981-,5471608628111561,JakCard,56500,3500,53000,TX000070,True,-6.160386898704649,106.78567193800284,F,False,2025-07-14 22:43:08
2869c316-918e-49fb-a6c0-44f22481e584,2025-07-06 06:21:35,B 5393 CIM,LGS6386-A,4541619917018373,E-Money,6500,3500,3000,TX000071,False,-6.176800260047537,106.84389118348139,S,False,2025-07-06 06:22:20
307b4679-b36b-421f-8a7b-667f833e6176,2025-07-09 08:36:36,B 6022 AEB,TWS8882A,7511123005260354,Flazz,71000,0,71000,TX000072,True,-6.23785081090608,106.76995790223916,S,True,2025-07-09 08:36:51
f04c2d8f-91bd-465c-b735-5a7021ccf030,2025-07-02 23:06:48,B 1574 CNK,TWS196-B,1059166402094603,E-Money,29000,20000,9000,TX000073,False,-6.193468177080391,106.75362998738368,S,False,2025-07-02 23:07:08
86bf627b-4389-4a48-8d48-a65f832b3d80,2025-07-30 13:49:58,B 5940 NYZ,PTK7110B,5917921491277783,E-Money,45000,2000,43000,TX000074,False,-6.204222784862999,106.84970302469115,S,False,2025-07-30 13:51:25
f089bf85-2bec-4704-96bc-8ebb7788df74,2025-07-15 02:34:53,B 9188 HMZ,KLG5420,3491591914076629,BRIZZI,23000,0,23000,TX000075,True,-6.212947768664386,106.8417643903111,S,True,2025-07-15 02:36:05
c99e6357-0085-4849-8642-28c2299a5ccd,2025-07-26 10:52:11,B 7281 BYP,PTK9738_B,4103950747978555,BRIZZI,99500,3500,96000,TX000076,False,-6.2303902215770215,106.82926421028512,S,False,2025-07-26 10:53:18
55c1b748-7014-468f-b93d-15d0cc0f9802,2025-07-20 16:46:03,B 9371 TWE,KLG5420_,2570743167363204,Flazz,92000,20000,72000,TX000077,False,-6.173018160706163,106.75018529674422,F,False,2025-07-20 16:46:13
a42eecb0-2d83-4fef-bf3e-ced3538c09aa,2025-07-29 03:08:54,B 2163 FAW,NBR137B,7504001124752538,BRIZZI,51000,2000,49000,TX000078,False,-6.161635878452669,106.76867505286353,S,False,2025-07-29 03:09:11
7c45854e-9d99-4d95-a56f-42c4cdf49938,2025-07-04 21:03:57,B 1561 CHL,KLG8900_,8556789164274284,JakCard,30000,20000,10000,TX000079,False,-6.219663597805947,106.84598190417466,S,False,2025-07-04 21:04:20
50dc766c-7fbc-45b9-85d8-c48b6cac7578,2025-07-20 20:01:11,B 6590 CDN,NBR9121A,5299160363066832,Flazz,15000,2000,13000,TX000080,True,-6.19444705691964,106.84249086774787,S,False,2025-07-20 20:02:31
93a0f585-24d3-4b30-93ec-22ea3c1bf4df,2025-07-08 14:11:48,B 2359 LUB,KLG6791A,1601631388538125,Flazz,13000,0,13000,TX000081,True,-6.170022928467496,106.82862127181772,S,True,2025-07-08 14:11:50
5eab7134-4a3d-4eb2-bf87-4d611fdd0d7f,2025-07-06 23:29:15,B 9790 ZLN,BRT7068-,6233390714216151,E-Money,56000,35000,21000,TX000082,False,-6.196171456391805,106.76835976776287,S,False,2025-07-06 23:30:37
e52644a1-281b-46f8-b791-0ee16e911df4,2025-07-28 08:07:29,B 5920 TWD,LGS5991_B,2256614845252065,E-Money,36000,35000,1000,TX000083,False,-6.173749709190418,106.75026022173252,S,False,2025-07-28 08:08:54
c350d9a4-87e9-435d-8e8a-dfc61c744a08,2025-07-09 09:33:09,B 5528 LQO,KLG3512,4682708131574238,BRIZZI,49000,2000,47000,TX000084,False,-6.176830961845176,106.81680214402569,S,False,2025-07-09 09:33:51
5f3890a0-7307-49af-973b-f3ed82e565f6,2025-07-13 12:04:46,B 9752 RUJ,LGS2490-,7769777373059697,JakCard,28000,2000,26000,TX000085,True,-6.209259164569567,106.8153496699531,S,False,2025-07-13 12:05:31
2c236888-7d16-4db5-94f6-a7629206ce6b,2025-07-27 07:52:27,B 8910 LZE,LGS4205,9948333260499840,BRIZZI,69500,3500,66000,TX000086,False,-6.225290990384098,106.82835253578388,S,False,2025-07-27 07:54:14
de30c19b-710e-4685-b139-ff666047f6a0,2025-07-21 16:24:15,B 5113 MSE,TWS8141B,7497912371663729,BRIZZI,51000,2000,49000,TX000087,True,-6.194190035183026,106.77868816604102,S,False,2025-07-21 16:25:25
e8af17a0-3e78-4d0b-a19c-09fa933389e1,2025-07-11 09:29:43,B 6871 BIQ,BRT2043,1746521826529790,BRIZZI,77000,2000,75000,TX000088,False,-6.226856512249883,106.797025429289,S,False,2025-07-11 09:31:19
7c16056f-c098-4e67-8800-cbec158d2b49,2025-07-19 03:36:52,B 1145 TBY,LGS655A,6988935144165363,Flazz,98000,2000,96000,TX000089,True,-6.177777917598743,106.79752574879197,S,False,2025-07-19 03:37:18
e9f36226-3de9-447d-b07f-fd9e63ce10df,2025-07-06 14:44:12,B 3522 SVY,BRT9018-B,7596440119729296,BRIZZI,45000,20000,25000,TX000090,True,-6.211578518904447,106.83911683259153,S,False,2025-07-06 14:46:03
0ee87c3a-c6c9-45d3-ad8e-faf9e96cca1f,2025-07-02 08:09:27,B 2588 VHH,LGS6239-B,6804179345697991,JakCard,27000,20000,7000,TX000091,True,-6.202111611575299,106.78550641235779,S,False,2025-07-02 08:10:08
e5006d1b-c566-4f70-a516-b487771400e7,2025-07-23 13:06:27,B 8439 VXN,KLG1967,5225260902256305,Flazz,78500,3500,75000,TX000092,True,-6.193368090850324,106.75257629640949,S,False,2025-07-23 13:07:20
e9c4240f-13b6-4f0f-be19-72ba744e0887,2025-07-18 17:01:14,B 2618 DQR,BRT6396-,5530929450155494,JakCard,17500,3500,14000,TX000093,False,-6.162471914839194,106.82505920508413,S,False,2025-07-18 17:01:24
9fbdfe59-fe22-4ce2-b26c-bc9935022f16,2025-07-24 13:03:16,B 7528 TMO,PTK8518B,4725566331671343,Flazz,62500,3500,59000,TX000094,False,-6.199055191063264,106.78013964405821,S,False,2025-07-24 13:04:35
bbe8a6a8-4510-4763-8c96-d3a1eed8f4ab,2025-07-07 17:31:50,B 2800 EAA,LGS2989_B,8318091949925358,BRIZZI,12500,3500,9000,TX000095,True,-6.24962310972629,106.84570073555142,S,False,2025-07-07 17:32:33
6e32f513-3511-48d4-85b8-6ee0813ad160,2025-07-27 19:27:30,B 7167 NJX,PTK2176_A,8029332387823319,Flazz,83500,3500,80000,TX000096,False,-6.170717922839401,106.7806295622422,S,False,2025-07-27 19:27:36
89d7c8f9-a747-41bc-a2df-d66362d2eb84,2025-07-26 08:17:16,B 4786 MTE,PTK4790-,5497712996676349,Flazz,79000,20000,59000,TX000097,False,-6.187133501891936,106.80047272779008,S,False,2025-07-26 08:18:51
12f8f76c-538e-446b-bf39-8198e785265b,2025-07-24 07:22:10,B 4346 LZP,BRT2087B,9575729858422899,JakCard,89500,3500,86000,TX000098,False,-6.169640521906997,106.8295412572747,S,False,2025-07-24 07:23:22
9cc1349f-e3c1-41ae-827f-de1262da78eb,2025-07-19 01:11:53,B 3402 DRX,BRT1881,2581442659769598,JakCard,85000,2000,83000,TX000099,False,-6.229373898638264,106.80061768741076,S,False,2025-07-19 01:13:07
7c4770ff-82d6-4636-9bae-d82bb8add57c,2025-07-06 08:11:33,B 9989 OLN,TWS7258B,0673257661996807,JakCard,36000,20000,16000,TX000100,True,-6.181474394262739,106.80626124916105,S,False,2025-07-06 08:11:40
4d8ba23d-1dd4-40c0-b3f7-f9aaadcc8e42,2025-07-30 22:16:31,B 5304 KAM,TWS7147_B,8370642055209352,JakCard,59000,20000,39000,TX000101,True,-6.225701541750416,106.76153435357094,S,False,2025-07-30 22:18:02
ccfe9369-e310-4702-83bb-02262a20ca7a,2025-07-30 04:18:02,B 7156 ERS,KLG3994,5847267186126139,Flazz,69000,2000,67000,TX000102,True,-6.229200445354577,106.79848151302556,S,False,2025-07-30 04:19:28
4eff0e2c-06c8-4592-a9f6-306146205d0a,2025-07-15 09:02:54,B 7055 KYB,LGS7045_,7931277196235922,BRIZZI,81000,2000,79000,TX000103,False,-6.185278732870934,106.751460065208,S,False,2025-07-15 09:03:28
719df4c8-bd4b-4446-ab8d-1d49a1cb2654,2025-07-26 00:00:26,B 6806 IWI,KLG3630,3840773499410856,E-Money,74000,35000,39000,TX000104,False,-6.246369882200649,106.84144153364319,S,False,2025-07-26 00:01:47
466e6c04-4932-4ae8-b922-53e7b9efd74f,2025-07-23 17:34:16,B 3739 NAX,NBR3648A,1850029875941052,JakCard,83000,20000,63000,TX000105,False,-6.201072215763343,106.77616625181643,S,False,2025-07-23 17:35:19
d375b935-ad1f-4363-bbd4-d52ab71c80fc,2025-07-31 21:40:06,B 7271 MTL,PTK7239,5186668353909603,Flazz,12000,0,12000,TX000106,True,-6.218716986640882,106.81374249419798,S,True,2025-07-31 21:40:26
b780183c-299b-4b5b-9a79-7354f4926fa7,2025-07-20 13:11:16,B 1775 OFE,PTK1654A,9948864932055430,JakCard,81000,20000,61000,TX000107,False,-6.167200132715333,106.82760135158001,S,False,2025-07-20 13:13:06
64afca56-1a34-42ab-9b11-99b9355d49d9,2025-07-16 09:14:47,B 6163 JOX,BRT7650B,3248898512937644,Flazz,88500,3500,85000,TX000108,True,-6.169129598256772,106.75898060237714,S,False,2025-07-16 09:16:40
24f46d0a-d090-46ad-a42b-e59bb7d395df,2025-07-09 10:48:24,B 9596 MLG,TWS7576-,1112641313463303,Flazz,78500,3500,75000,TX000109,True,-6.178901384808888,106.83300798115391,S,False,2025-07-09 10:49:50
e5859e66-4840-4d7f-a148-374e5f5a7d77,2025-07-14 08:48:10,B 1467 YAY,LGS865,3859125444280282,Flazz,59000,20000,39000,TX000110,True,-6.185983149912686,106.75758656719918,S,False,2025-07-14 08:49:03
a782c3bd-b379-422f-9c38-f8c40dae2bf7,2025-07-11 23:51:40,B 6483 VEE,PTK2662A,2818062505339397,JakCard,18000,0,18000,TX000111,False,-6.210044180080738,106.83712448408328,S,True,2025-07-11 23:52:29
5e4fec69-7037-46e6-97f8-f99e8e317a44,2025-07-14 13:34:46,B 2374 RHA,KLG9037_B,5357934445310846,BRIZZI,94000,20000,74000,TX000112,False,-6.1606843606700785,106.76716584848798,S,False,2025-07-14 13:35:26
9e63e8bc-d853-45cc-945b-3432153105ad,2025-07-12 06:04:49,B 8921 MFS,BRT9965_,0138039436642790,Flazz,65000,35000,30000,TX000113,False,-6.214700893772904,106.78559451219249,S,False,2025-07-12 06:06:33
acfe1134-a959-4dc9-9b58-ab2f6b040333,2025-07-24 19:54:24,B 8436 NFL,PTK1591_A,0219172212264899,E-Money,40000,20000,20000,TX000114,True,-6.233772451549928,106.80280575553493,S,False,2025-07-24 19:55:48
8d381c41-cebb-4971-b4fc-c629b8dcffb9,2025-07-01 08:36:55,B 6651 AMS,BRT5295-,7883735746034343,Flazz,67000,35000,32000,TX000115,False,-6.23112073192481,106.77701739988655,S,False,2025-07-01 08:37:28
ee94f486-f687-489e-a7af-0a7ee1962f6f,2025-07-20 20:11:01,B 8186 SBP,PTK2086,0168013009157430,Flazz,48000,2000,46000,TX000116,False,-6.24753493927246,106.82322868572685,S,False,2025-07-20 20:12:01
